category,video_id,video_path,input_frames_path,target_frame_path,template,label,placeholders,resolution
drop_object,213289,extracted_videos/20bn-something-something-v2/213289.webm,processed_data_256/frames/drop_object/213289_input.npy,processed_data_256/frames/drop_object/213289_target.npy,"Lifting [something] up completely, then letting it drop down","lifting remote control up completely, then letting it drop down",['remote control'],256x256
drop_object,83421,extracted_videos/20bn-something-something-v2/83421.webm,processed_data_256/frames/drop_object/83421_input.npy,processed_data_256/frames/drop_object/83421_target.npy,Dropping [something] behind [something],dropping a deodorant behind a wallet,"['a deodorant', 'a wallet']",256x256
cover_object,32661,extracted_videos/20bn-something-something-v2/32661.webm,processed_data_256/frames/cover_object/32661_input.npy,processed_data_256/frames/cover_object/32661_target.npy,Covering [something] with [something],covering adapter with plastic bag,"['adapter', 'plastic bag']",256x256
move_object,53893,extracted_videos/20bn-something-something-v2/53893.webm,processed_data_256/frames/move_object/53893_input.npy,processed_data_256/frames/move_object/53893_target.npy,Lifting a surface with [something] on it until it starts sliding down,lifting a surface with a coin on it until it starts sliding down,['a coin'],256x256
move_object,36371,extracted_videos/20bn-something-something-v2/36371.webm,processed_data_256/frames/move_object/36371_input.npy,processed_data_256/frames/move_object/36371_target.npy,Pulling [something] from left to right,pulling garnier cream from left to right,['garnier cream'],256x256
cover_object,136282,extracted_videos/20bn-something-something-v2/136282.webm,processed_data_256/frames/cover_object/136282_input.npy,processed_data_256/frames/cover_object/136282_target.npy,Covering [something] with [something],covering a mug with a towel,"['a mug', 'a towel']",256x256
drop_object,28371,extracted_videos/20bn-something-something-v2/28371.webm,processed_data_256/frames/drop_object/28371_input.npy,processed_data_256/frames/drop_object/28371_target.npy,Dropping [something] onto [something],dropping shoe onto chair,"['shoe', 'chair']",256x256
cover_object,139473,extracted_videos/20bn-something-something-v2/139473.webm,processed_data_256/frames/cover_object/139473_input.npy,processed_data_256/frames/cover_object/139473_target.npy,Uncovering [something],uncovering backpack,['backpack'],256x256
cover_object,3423,extracted_videos/20bn-something-something-v2/3423.webm,processed_data_256/frames/cover_object/3423_input.npy,processed_data_256/frames/cover_object/3423_target.npy,Uncovering [something],uncovering body cream,['body cream'],256x256
move_object,204948,extracted_videos/20bn-something-something-v2/204948.webm,processed_data_256/frames/move_object/204948_input.npy,processed_data_256/frames/move_object/204948_target.npy,Moving [something] and [something] away from each other,moving an orange pen and a pink pen away from each other,"['an orange pen', 'a pink pen']",256x256
move_object,152736,extracted_videos/20bn-something-something-v2/152736.webm,processed_data_256/frames/move_object/152736_input.npy,processed_data_256/frames/move_object/152736_target.npy,Touching (without moving) [part] of [something],touching (without moving) bottle cap of bottle,"['bottle cap', 'bottle']",256x256
cover_object,153817,extracted_videos/20bn-something-something-v2/153817.webm,processed_data_256/frames/cover_object/153817_input.npy,processed_data_256/frames/cover_object/153817_target.npy,Covering [something] with [something],covering brush with head cap,"['brush', 'head cap']",256x256
cover_object,71281,extracted_videos/20bn-something-something-v2/71281.webm,processed_data_256/frames/cover_object/71281_input.npy,processed_data_256/frames/cover_object/71281_target.npy,Uncovering [something],uncovering color pencils,['color pencils'],256x256
cover_object,60631,extracted_videos/20bn-something-something-v2/60631.webm,processed_data_256/frames/cover_object/60631_input.npy,processed_data_256/frames/cover_object/60631_target.npy,Uncovering [something],uncovering longnose,['longnose'],256x256
move_object,205786,extracted_videos/20bn-something-something-v2/205786.webm,processed_data_256/frames/move_object/205786_input.npy,processed_data_256/frames/move_object/205786_target.npy,Moving [something] away from [something],moving marker away from bowl,"['marker', 'bowl']",256x256
move_object,128563,extracted_videos/20bn-something-something-v2/128563.webm,processed_data_256/frames/move_object/128563_input.npy,processed_data_256/frames/move_object/128563_target.npy,Moving [something] across a surface without it falling down,moving a tissue across a surface without it falling down,['a tissue'],256x256
drop_object,191401,extracted_videos/20bn-something-something-v2/191401.webm,processed_data_256/frames/drop_object/191401_input.npy,processed_data_256/frames/drop_object/191401_target.npy,Dropping [something] next to [something],dropping a lightbulb next to some keys,"['a lightbulb', 'some keys']",256x256
cover_object,156816,extracted_videos/20bn-something-something-v2/156816.webm,processed_data_256/frames/cover_object/156816_input.npy,processed_data_256/frames/cover_object/156816_target.npy,Covering [something] with [something],covering pen cap with cd,"['pen cap', 'cd']",256x256
move_object,94916,extracted_videos/20bn-something-something-v2/94916.webm,processed_data_256/frames/move_object/94916_input.npy,processed_data_256/frames/move_object/94916_target.npy,Pushing [something] from left to right,pushing rubber duck from left to right,['rubber duck'],256x256
cover_object,5728,extracted_videos/20bn-something-something-v2/5728.webm,processed_data_256/frames/cover_object/5728_input.npy,processed_data_256/frames/cover_object/5728_target.npy,Uncovering [something],uncovering mobile,['mobile'],256x256
drop_object,50944,extracted_videos/20bn-something-something-v2/50944.webm,processed_data_256/frames/drop_object/50944_input.npy,processed_data_256/frames/drop_object/50944_target.npy,Dropping [something] next to [something],dropping calculator next to paint brush,"['calculator', 'paint brush']",256x256
cover_object,41273,extracted_videos/20bn-something-something-v2/41273.webm,processed_data_256/frames/cover_object/41273_input.npy,processed_data_256/frames/cover_object/41273_target.npy,Uncovering [something],uncovering brush,['brush'],256x256
move_object,116924,extracted_videos/20bn-something-something-v2/116924.webm,processed_data_256/frames/move_object/116924_input.npy,processed_data_256/frames/move_object/116924_target.npy,Moving [something] and [something] closer to each other,moving a ball and matchbox closer to each other,"['a ball', 'matchbox']",256x256
drop_object,39743,extracted_videos/20bn-something-something-v2/39743.webm,processed_data_256/frames/drop_object/39743_input.npy,processed_data_256/frames/drop_object/39743_target.npy,"Lifting [something] up completely, then letting it drop down","lifting crayon up completely, then letting it drop down",['crayon'],256x256
cover_object,139083,extracted_videos/20bn-something-something-v2/139083.webm,processed_data_256/frames/cover_object/139083_input.npy,processed_data_256/frames/cover_object/139083_target.npy,Uncovering [something],uncovering pencil,['pencil'],256x256
drop_object,85245,extracted_videos/20bn-something-something-v2/85245.webm,processed_data_256/frames/drop_object/85245_input.npy,processed_data_256/frames/drop_object/85245_target.npy,[Something] falling like a rock,key falling like a rock,['key'],256x256
drop_object,77688,extracted_videos/20bn-something-something-v2/77688.webm,processed_data_256/frames/drop_object/77688_input.npy,processed_data_256/frames/drop_object/77688_target.npy,"Lifting [something] up completely, then letting it drop down","lifting card up completely, then letting it drop down",['card'],256x256
cover_object,23807,extracted_videos/20bn-something-something-v2/23807.webm,processed_data_256/frames/cover_object/23807_input.npy,processed_data_256/frames/cover_object/23807_target.npy,Uncovering [something],uncovering longnose,['longnose'],256x256
drop_object,79704,extracted_videos/20bn-something-something-v2/79704.webm,processed_data_256/frames/drop_object/79704_input.npy,processed_data_256/frames/drop_object/79704_target.npy,Dropping [something] onto [something],dropping hat onto shoe,"['hat', 'shoe']",256x256
drop_object,42500,extracted_videos/20bn-something-something-v2/42500.webm,processed_data_256/frames/drop_object/42500_input.npy,processed_data_256/frames/drop_object/42500_target.npy,Dropping [something] in front of [something],dropping metal box in front of blusher,"['metal box', 'blusher']",256x256
drop_object,130561,extracted_videos/20bn-something-something-v2/130561.webm,processed_data_256/frames/drop_object/130561_input.npy,processed_data_256/frames/drop_object/130561_target.npy,Dropping [something] onto [something],dropping a syringe onto bed,"['a syringe', 'bed']",256x256
move_object,155514,extracted_videos/20bn-something-something-v2/155514.webm,processed_data_256/frames/move_object/155514_input.npy,processed_data_256/frames/move_object/155514_target.npy,Pushing [something] from right to left,pushing taskpane from right to left,['taskpane'],256x256
drop_object,88934,extracted_videos/20bn-something-something-v2/88934.webm,processed_data_256/frames/drop_object/88934_input.npy,processed_data_256/frames/drop_object/88934_target.npy,Dropping [something] next to [something],dropping calculator next to plug,"['calculator', 'plug']",256x256
move_object,167884,extracted_videos/20bn-something-something-v2/167884.webm,processed_data_256/frames/move_object/167884_input.npy,processed_data_256/frames/move_object/167884_target.npy,Pushing [something] from left to right,pushing pendrive from left to right,['pendrive'],256x256
move_object,50237,extracted_videos/20bn-something-something-v2/50237.webm,processed_data_256/frames/move_object/50237_input.npy,processed_data_256/frames/move_object/50237_target.npy,Moving [something] down,moving color pencils down,['color pencils'],256x256
drop_object,3874,extracted_videos/20bn-something-something-v2/3874.webm,processed_data_256/frames/drop_object/3874_input.npy,processed_data_256/frames/drop_object/3874_target.npy,[Something] falling like a rock,pasta falling like a rock,['pasta'],256x256
move_object,194866,extracted_videos/20bn-something-something-v2/194866.webm,processed_data_256/frames/move_object/194866_input.npy,processed_data_256/frames/move_object/194866_target.npy,Pushing [something] from right to left,pushing deodorant antiperspirant from right to left,['deodorant antiperspirant'],256x256
drop_object,45679,extracted_videos/20bn-something-something-v2/45679.webm,processed_data_256/frames/drop_object/45679_input.npy,processed_data_256/frames/drop_object/45679_target.npy,[Something] falling like a feather or paper,tissue falling like a feather or paper,['tissue'],256x256
cover_object,89605,extracted_videos/20bn-something-something-v2/89605.webm,processed_data_256/frames/cover_object/89605_input.npy,processed_data_256/frames/cover_object/89605_target.npy,Putting [something] onto [something],putting snake gourd piece onto table,"['snake gourd piece', 'table']",256x256
drop_object,177399,extracted_videos/20bn-something-something-v2/177399.webm,processed_data_256/frames/drop_object/177399_input.npy,processed_data_256/frames/drop_object/177399_target.npy,Dropping [something] onto [something],dropping bobby pins onto table,"['bobby pins', 'table']",256x256
cover_object,68725,extracted_videos/20bn-something-something-v2/68725.webm,processed_data_256/frames/cover_object/68725_input.npy,processed_data_256/frames/cover_object/68725_target.npy,Showing [something] on top of [something],showing bottle cap on top of table,"['bottle cap', 'table']",256x256
move_object,93808,extracted_videos/20bn-something-something-v2/93808.webm,processed_data_256/frames/move_object/93808_input.npy,processed_data_256/frames/move_object/93808_target.npy,Moving [something] down,moving set-square down,['set-square'],256x256
move_object,13306,extracted_videos/20bn-something-something-v2/13306.webm,processed_data_256/frames/move_object/13306_input.npy,processed_data_256/frames/move_object/13306_target.npy,Pushing [something] from right to left,pushing exo dishwash liquid from right to left,['exo dishwash liquid'],256x256
move_object,47366,extracted_videos/20bn-something-something-v2/47366.webm,processed_data_256/frames/move_object/47366_input.npy,processed_data_256/frames/move_object/47366_target.npy,Lifting a surface with [something] on it until it starts sliding down,lifting a surface with a highlighter on it until it starts sliding down,['a highlighter'],256x256
drop_object,141383,extracted_videos/20bn-something-something-v2/141383.webm,processed_data_256/frames/drop_object/141383_input.npy,processed_data_256/frames/drop_object/141383_target.npy,Dropping [something] onto [something],dropping a wooden wheel onto a table,"['a wooden wheel', 'a table']",256x256
drop_object,144363,extracted_videos/20bn-something-something-v2/144363.webm,processed_data_256/frames/drop_object/144363_input.npy,processed_data_256/frames/drop_object/144363_target.npy,Dropping [something] next to [something],dropping bottle cap next to box,"['bottle cap', 'box']",256x256
drop_object,78870,extracted_videos/20bn-something-something-v2/78870.webm,processed_data_256/frames/drop_object/78870_input.npy,processed_data_256/frames/drop_object/78870_target.npy,[Something] falling like a feather or paper,something falling like a feather or paper,['something'],256x256
drop_object,24991,extracted_videos/20bn-something-something-v2/24991.webm,processed_data_256/frames/drop_object/24991_input.npy,processed_data_256/frames/drop_object/24991_target.npy,Dropping [something] into [something],dropping sweets into glass,"['sweets', 'glass']",256x256
drop_object,19525,extracted_videos/20bn-something-something-v2/19525.webm,processed_data_256/frames/drop_object/19525_input.npy,processed_data_256/frames/drop_object/19525_target.npy,Dropping [something] in front of [something],dropping bracelet in front of power bank,"['bracelet', 'power bank']",256x256
cover_object,9685,extracted_videos/20bn-something-something-v2/9685.webm,processed_data_256/frames/cover_object/9685_input.npy,processed_data_256/frames/cover_object/9685_target.npy,Covering [something] with [something],covering watch with gloves,"['watch', 'gloves']",256x256
cover_object,111269,extracted_videos/20bn-something-something-v2/111269.webm,processed_data_256/frames/cover_object/111269_input.npy,processed_data_256/frames/cover_object/111269_target.npy,Uncovering [something],uncovering pen,['pen'],256x256
cover_object,33267,extracted_videos/20bn-something-something-v2/33267.webm,processed_data_256/frames/cover_object/33267_input.npy,processed_data_256/frames/cover_object/33267_target.npy,Uncovering [something],uncovering comb,['comb'],256x256
move_object,119604,extracted_videos/20bn-something-something-v2/119604.webm,processed_data_256/frames/move_object/119604_input.npy,processed_data_256/frames/move_object/119604_target.npy,Pushing [something] with [something],pushing figurine with correction tape,"['figurine', 'correction tape']",256x256
move_object,52716,extracted_videos/20bn-something-something-v2/52716.webm,processed_data_256/frames/move_object/52716_input.npy,processed_data_256/frames/move_object/52716_target.npy,Moving [something] and [something] away from each other,moving antiseptic and usb mouse away from each other,"['antiseptic', 'usb mouse']",256x256
cover_object,70971,extracted_videos/20bn-something-something-v2/70971.webm,processed_data_256/frames/cover_object/70971_input.npy,processed_data_256/frames/cover_object/70971_target.npy,Showing [something] on top of [something],showing ashtray on top of desk,"['ashtray', 'desk']",256x256
cover_object,197062,extracted_videos/20bn-something-something-v2/197062.webm,processed_data_256/frames/cover_object/197062_input.npy,processed_data_256/frames/cover_object/197062_target.npy,Putting [something similar to other things that are already on the table],putting one of the tube bottles,['one of the tube bottles'],256x256
move_object,80928,extracted_videos/20bn-something-something-v2/80928.webm,processed_data_256/frames/move_object/80928_input.npy,processed_data_256/frames/move_object/80928_target.npy,"Removing [something], revealing [something] behind","removing cd, revealing key behind","['cd', 'key']",256x256
cover_object,45306,extracted_videos/20bn-something-something-v2/45306.webm,processed_data_256/frames/cover_object/45306_input.npy,processed_data_256/frames/cover_object/45306_target.npy,Putting [something] onto [something],putting a set of keys onto a decorative box,"['a set of keys', 'a decorative box']",256x256
cover_object,21587,extracted_videos/20bn-something-something-v2/21587.webm,processed_data_256/frames/cover_object/21587_input.npy,processed_data_256/frames/cover_object/21587_target.npy,Putting [something similar to other things that are already on the table],putting one bingo chip on the table,['one bingo chip on the table'],256x256
cover_object,158210,extracted_videos/20bn-something-something-v2/158210.webm,processed_data_256/frames/cover_object/158210_input.npy,processed_data_256/frames/cover_object/158210_target.npy,Putting [something] onto [something],putting a bottle onto a window sill,"['a bottle', 'a window sill']",256x256
cover_object,78963,extracted_videos/20bn-something-something-v2/78963.webm,processed_data_256/frames/cover_object/78963_input.npy,processed_data_256/frames/cover_object/78963_target.npy,Putting [something] onto [something],putting chess coin onto chess board,"['chess coin', 'chess board']",256x256
move_object,31499,extracted_videos/20bn-something-something-v2/31499.webm,processed_data_256/frames/move_object/31499_input.npy,processed_data_256/frames/move_object/31499_target.npy,Moving [something] up,moving scissors up,['scissors'],256x256
drop_object,49277,extracted_videos/20bn-something-something-v2/49277.webm,processed_data_256/frames/drop_object/49277_input.npy,processed_data_256/frames/drop_object/49277_target.npy,"Lifting [something] up completely, then letting it drop down","lifting bangle up completely, then letting it drop down",['bangle'],256x256
move_object,46582,extracted_videos/20bn-something-something-v2/46582.webm,processed_data_256/frames/move_object/46582_input.npy,processed_data_256/frames/move_object/46582_target.npy,Pushing [something] from right to left,pushing stapler from right to left,['stapler'],256x256
move_object,122613,extracted_videos/20bn-something-something-v2/122613.webm,processed_data_256/frames/move_object/122613_input.npy,processed_data_256/frames/move_object/122613_target.npy,Pushing [something] from right to left,pushing trigonal clip from right to left,['trigonal clip'],256x256
move_object,7989,extracted_videos/20bn-something-something-v2/7989.webm,processed_data_256/frames/move_object/7989_input.npy,processed_data_256/frames/move_object/7989_target.npy,Pushing [something] so it spins,pushing container so it spins,['container'],256x256
drop_object,116155,extracted_videos/20bn-something-something-v2/116155.webm,processed_data_256/frames/drop_object/116155_input.npy,processed_data_256/frames/drop_object/116155_target.npy,"Lifting [something] up completely, then letting it drop down","lifting plastic bottle up completely, then letting it drop down",['plastic bottle'],256x256
drop_object,62071,extracted_videos/20bn-something-something-v2/62071.webm,processed_data_256/frames/drop_object/62071_input.npy,processed_data_256/frames/drop_object/62071_target.npy,"Lifting [something] up completely, then letting it drop down","lifting card up completely, then letting it drop down",['card'],256x256
cover_object,25209,extracted_videos/20bn-something-something-v2/25209.webm,processed_data_256/frames/cover_object/25209_input.npy,processed_data_256/frames/cover_object/25209_target.npy,Putting [something] onto [something],putting brush onto pack biscuit,"['brush', 'pack biscuit']",256x256
move_object,75926,extracted_videos/20bn-something-something-v2/75926.webm,processed_data_256/frames/move_object/75926_input.npy,processed_data_256/frames/move_object/75926_target.npy,Pushing [something] so that it falls off the table,pushing plastic cap so that it falls off the table,['plastic cap'],256x256
move_object,170486,extracted_videos/20bn-something-something-v2/170486.webm,processed_data_256/frames/move_object/170486_input.npy,processed_data_256/frames/move_object/170486_target.npy,Moving [something] and [something] so they pass each other,moving cup and cup so they pass each other,"['cup', 'cup']",256x256
cover_object,83481,extracted_videos/20bn-something-something-v2/83481.webm,processed_data_256/frames/cover_object/83481_input.npy,processed_data_256/frames/cover_object/83481_target.npy,Putting [something] onto [something],putting lid onto pot,"['lid', 'pot']",256x256
move_object,144298,extracted_videos/20bn-something-something-v2/144298.webm,processed_data_256/frames/move_object/144298_input.npy,processed_data_256/frames/move_object/144298_target.npy,Pushing [something] so that it slightly moves,pushing copper cable so that it slightly moves,['copper cable'],256x256
cover_object,192419,extracted_videos/20bn-something-something-v2/192419.webm,processed_data_256/frames/cover_object/192419_input.npy,processed_data_256/frames/cover_object/192419_target.npy,Covering [something] with [something],covering a mug with a table napkin,"['a mug', 'a table napkin']",256x256
move_object,115296,extracted_videos/20bn-something-something-v2/115296.webm,processed_data_256/frames/move_object/115296_input.npy,processed_data_256/frames/move_object/115296_target.npy,Moving [something] down,moving a pair of sunglasses down,['a pair of sunglasses'],256x256
move_object,2432,extracted_videos/20bn-something-something-v2/2432.webm,processed_data_256/frames/move_object/2432_input.npy,processed_data_256/frames/move_object/2432_target.npy,Moving [something] across a surface until it falls down,moving a spray can across a surface until it falls down,['a spray can'],256x256
move_object,105127,extracted_videos/20bn-something-something-v2/105127.webm,processed_data_256/frames/move_object/105127_input.npy,processed_data_256/frames/move_object/105127_target.npy,"Removing [something], revealing [something] behind","removing metal bowl, revealing volley ball behind","['metal bowl', 'volley ball']",256x256
move_object,122796,extracted_videos/20bn-something-something-v2/122796.webm,processed_data_256/frames/move_object/122796_input.npy,processed_data_256/frames/move_object/122796_target.npy,Pushing [something] from left to right,pushing spices from left to right,['spices'],256x256
drop_object,182512,extracted_videos/20bn-something-something-v2/182512.webm,processed_data_256/frames/drop_object/182512_input.npy,processed_data_256/frames/drop_object/182512_target.npy,Dropping [something] next to [something],dropping bowl next to potato,"['bowl', 'potato']",256x256
cover_object,135400,extracted_videos/20bn-something-something-v2/135400.webm,processed_data_256/frames/cover_object/135400_input.npy,processed_data_256/frames/cover_object/135400_target.npy,Uncovering [something],uncovering pencil,['pencil'],256x256
drop_object,106439,extracted_videos/20bn-something-something-v2/106439.webm,processed_data_256/frames/drop_object/106439_input.npy,processed_data_256/frames/drop_object/106439_target.npy,[Something] falling like a rock,box falling like a rock,['box'],256x256
drop_object,121516,extracted_videos/20bn-something-something-v2/121516.webm,processed_data_256/frames/drop_object/121516_input.npy,processed_data_256/frames/drop_object/121516_target.npy,[Something] falling like a rock,remote falling like a rock,['remote'],256x256
move_object,91445,extracted_videos/20bn-something-something-v2/91445.webm,processed_data_256/frames/move_object/91445_input.npy,processed_data_256/frames/move_object/91445_target.npy,Plugging [something] into [something] but pulling it right out as you remove your hand,plugging cable into charger but pulling it right out as you remove your hand,"['cable', 'charger']",256x256
drop_object,17374,extracted_videos/20bn-something-something-v2/17374.webm,processed_data_256/frames/drop_object/17374_input.npy,processed_data_256/frames/drop_object/17374_target.npy,Dropping [something] next to [something],dropping a ball next to a bucket,"['a ball', 'a bucket']",256x256
cover_object,168045,extracted_videos/20bn-something-something-v2/168045.webm,processed_data_256/frames/cover_object/168045_input.npy,processed_data_256/frames/cover_object/168045_target.npy,Uncovering [something],uncovering couch,['couch'],256x256
move_object,151852,extracted_videos/20bn-something-something-v2/151852.webm,processed_data_256/frames/move_object/151852_input.npy,processed_data_256/frames/move_object/151852_target.npy,Pushing [something] so that it falls off the table,pushing candy so that it falls off the table,['candy'],256x256
drop_object,106951,extracted_videos/20bn-something-something-v2/106951.webm,processed_data_256/frames/drop_object/106951_input.npy,processed_data_256/frames/drop_object/106951_target.npy,Dropping [something] onto [something],dropping a coconut onto frisbee,"['a coconut', 'frisbee']",256x256
drop_object,155597,extracted_videos/20bn-something-something-v2/155597.webm,processed_data_256/frames/drop_object/155597_input.npy,processed_data_256/frames/drop_object/155597_target.npy,"Lifting [something] up completely, then letting it drop down","lifting charger adapter up completely, then letting it drop down",['charger adapter'],256x256
drop_object,205266,extracted_videos/20bn-something-something-v2/205266.webm,processed_data_256/frames/drop_object/205266_input.npy,processed_data_256/frames/drop_object/205266_target.npy,Dropping [something] onto [something],dropping watch holder onto router box,"['watch holder', 'router box']",256x256
cover_object,165127,extracted_videos/20bn-something-something-v2/165127.webm,processed_data_256/frames/cover_object/165127_input.npy,processed_data_256/frames/cover_object/165127_target.npy,Covering [something] with [something],covering crayon with paper,"['crayon', 'paper']",256x256
cover_object,145660,extracted_videos/20bn-something-something-v2/145660.webm,processed_data_256/frames/cover_object/145660_input.npy,processed_data_256/frames/cover_object/145660_target.npy,Covering [something] with [something],covering glass with cloth,"['glass', 'cloth']",256x256
drop_object,165207,extracted_videos/20bn-something-something-v2/165207.webm,processed_data_256/frames/drop_object/165207_input.npy,processed_data_256/frames/drop_object/165207_target.npy,Dropping [something] next to [something],dropping hair band next to camera case,"['hair band', 'camera case']",256x256
drop_object,137832,extracted_videos/20bn-something-something-v2/137832.webm,processed_data_256/frames/drop_object/137832_input.npy,processed_data_256/frames/drop_object/137832_target.npy,Dropping [something] into [something],dropping laundry into a hamper,"['laundry', 'a hamper']",256x256
drop_object,70849,extracted_videos/20bn-something-something-v2/70849.webm,processed_data_256/frames/drop_object/70849_input.npy,processed_data_256/frames/drop_object/70849_target.npy,"Lifting [something] up completely, then letting it drop down","lifting pencil up completely, then letting it drop down",['pencil'],256x256
move_object,107529,extracted_videos/20bn-something-something-v2/107529.webm,processed_data_256/frames/move_object/107529_input.npy,processed_data_256/frames/move_object/107529_target.npy,Moving [something] up,moving green mechanical pencil up,['green mechanical pencil'],256x256
move_object,27726,extracted_videos/20bn-something-something-v2/27726.webm,processed_data_256/frames/move_object/27726_input.npy,processed_data_256/frames/move_object/27726_target.npy,Pushing [something] so it spins,pushing a pen so it spins,['a pen'],256x256
cover_object,95638,extracted_videos/20bn-something-something-v2/95638.webm,processed_data_256/frames/cover_object/95638_input.npy,processed_data_256/frames/cover_object/95638_target.npy,Covering [something] with [something],covering color pencils with paper,"['color pencils', 'paper']",256x256
move_object,52447,extracted_videos/20bn-something-something-v2/52447.webm,processed_data_256/frames/move_object/52447_input.npy,processed_data_256/frames/move_object/52447_target.npy,Pushing [something] so that it slightly moves,pushing paper weight so that it slightly moves,['paper weight'],256x256
cover_object,123699,extracted_videos/20bn-something-something-v2/123699.webm,processed_data_256/frames/cover_object/123699_input.npy,processed_data_256/frames/cover_object/123699_target.npy,Covering [something] with [something],covering color pencils with paper,"['color pencils', 'paper']",256x256
move_object,100974,extracted_videos/20bn-something-something-v2/100974.webm,processed_data_256/frames/move_object/100974_input.npy,processed_data_256/frames/move_object/100974_target.npy,Moving [something] up,moving remedy up,['remedy'],256x256
move_object,8580,extracted_videos/20bn-something-something-v2/8580.webm,processed_data_256/frames/move_object/8580_input.npy,processed_data_256/frames/move_object/8580_target.npy,Pushing [something] so that it falls off the table,pushing cap toothbrush so that it falls off the table,['cap toothbrush'],256x256
move_object,105888,extracted_videos/20bn-something-something-v2/105888.webm,processed_data_256/frames/move_object/105888_input.npy,processed_data_256/frames/move_object/105888_target.npy,Pushing [something] with [something],pushing bucket with bottle,"['bucket', 'bottle']",256x256
move_object,115985,extracted_videos/20bn-something-something-v2/115985.webm,processed_data_256/frames/move_object/115985_input.npy,processed_data_256/frames/move_object/115985_target.npy,Moving [something] down,moving color pencils down,['color pencils'],256x256
move_object,209263,extracted_videos/20bn-something-something-v2/209263.webm,processed_data_256/frames/move_object/209263_input.npy,processed_data_256/frames/move_object/209263_target.npy,Pushing [something] from right to left,pushing wallet from right to left,['wallet'],256x256
move_object,218678,extracted_videos/20bn-something-something-v2/218678.webm,processed_data_256/frames/move_object/218678_input.npy,processed_data_256/frames/move_object/218678_target.npy,Pushing [something] from right to left,pushing color pencils from right to left,['color pencils'],256x256
move_object,15660,extracted_videos/20bn-something-something-v2/15660.webm,processed_data_256/frames/move_object/15660_input.npy,processed_data_256/frames/move_object/15660_target.npy,Pushing [something] from left to right,pushing scissor from left to right,['scissor'],256x256
move_object,68890,extracted_videos/20bn-something-something-v2/68890.webm,processed_data_256/frames/move_object/68890_input.npy,processed_data_256/frames/move_object/68890_target.npy,Moving [something] up,moving shawl up,['shawl'],256x256
cover_object,114695,extracted_videos/20bn-something-something-v2/114695.webm,processed_data_256/frames/cover_object/114695_input.npy,processed_data_256/frames/cover_object/114695_target.npy,Uncovering [something],uncovering case,['case'],256x256
move_object,12968,extracted_videos/20bn-something-something-v2/12968.webm,processed_data_256/frames/move_object/12968_input.npy,processed_data_256/frames/move_object/12968_target.npy,Pushing [something] with [something],pushing pen with ring,"['pen', 'ring']",256x256
